"","Samp","Year","Region","N_S","lat","lon","Heterozygosity"
"673","TRHS191",1892,"North","N",42.93112197,-82.66436772,0.002023634
"674","TRHS192",1976,"South","S",30.0686437,-89.92812792,0.003049096
"675","TRHS193",1955,"North","N",41.34338187,-77.06450625,0.002785911
"676","TRHS194",1961,"North","N",41.33198752,-75.03382898,0.002896779
"677","TRHS195",1958,"North","N",41.34338187,-77.06450625,0.003118387
"679","TRHS197",1906,"North","N",40.21082611,-75.36729364,0.003044715
"680","TRHS198",1928,"North","N",40.33694829,-75.10687343,0.002963086
"681","TRHS199",1954,"North","N",40.36723146,-76.45771276,0.003055947
"682","TRHS200",1981,"South","S",29.67745858,-90.0977654,0.002487029
"683","TRHS201",1934,"North","N",40.00763605,-75.13394468,0.002846381
"684","TRHS202",1960,"North","N",40.41629566,-75.9259989,0.002762726
"685","TRHS203",1957,"North","N",40.91818292,-75.70882161,0.002499412
"687","TRHS205",1946,"North","N",41.43678632,-75.60919565,0.002897247
"688","TRHS206",1922,"North","N",40.6127008,-75.59236948,0.003013868
"689","TRHS207",1982,"South","S",30.87977273,-91.42002868,0.002171075
"690","TRHS208",1967,"South","S",30.0686437,-89.92812792,0.001058682
"693","TRHS211",1982,"South","S",34.18155534,-77.86559757,0.003399796
"698","TRHS216",1975,"South","S",29.75649985,-91.76305555,0.002824664
"705","TRHS224",1971,"South","S",29.90552827,-90.35822047,0.002518477
"706","TRHS225",1963,"North","N",40.91934578,-77.81996016,0.002916926
"707","TRHS226",1899,"North","N",40.6127008,-75.59236948,0.003122267
"708","TRHS228",1950,"North","N",41.80774761,-78.56902513,0.003247026
"709","TRHS229",1939,"North","N",40.91818292,-75.70882161,0.002147951
"710","TRHS231",1962,"North","N",40.00655527,-78.49031712,0.003317964
"711","TRHS232",1987,"South","S",30.53823959,-91.09561662,0.002993686
"712","TRHS233",1957,"North","N",41.64873075,-75.30325771,0.003343572
"713","TRHS234",1945,"North","N",41.64873075,-75.30325771,0.003125322
"715","TRHS236",1954,"North","N",41.82132575,-75.8006829,0.003176849
"716","TRHS237",1918,"North","N",41.44615912,-76.51214129,0.0029251
"717","TRHS238",1959,"North","N",40.41544054,-76.7794747,0.003306226
"718","TRHS239",1951,"North","N",41.17700981,-75.98902608,0.003111424
"719","TRHS240",1987,"South","S",29.67745858,-90.0977654,0.003292063
"720","TRHS241",1970,"South","S",33.78194518,-82.74322675,0.003076204
"721","TRHS242",2018,"South","S",32.39681418,-81.74317814,0.001941839
"722","TRHS243",1948,"South","S",34.23766209,-84.84033848,0.00179006
"723","TRHS244",1967,"South","S",30.71008961,-82.89393519,0.002450706
"724","TRHS245",2013,"South","S",34.24393837,-84.47619343,0.001560691
"725","TRHS246",2012,"South","S",33.99319621,-83.71275498,0.002379671
"726","TRHS247",1936,"South","S",34.26316269,-85.21427865,0.002847611
"727","TRHS248",1977,"South","S",34.64639057,-83.74710823,0.002781447
"729","TRHS250",1987,"South","S",33.01389725,-83.91868214,0.002524172
"730","TRHS251",1967,"South","S",31.71638475,-83.62409298,0.002811857
"731","TRHS252",1958,"South","S",31.97395112,-81.09397031,0.00236638
"732","TRHS254",2001,"South","S",34.57218895,-84.00265583,0.002373061
"733","TRHS255",2005,"South","S",31.21324181,-81.49369759,0.001566845
"734","TRHS256",2006,"South","S",33.94148152,-84.57668425,0.00305784
"763","TRHS289",1966,"North","N",43.51796897,-71.42269361,0.003747969
"764","TRHS290",1982,"North","N",42.98459793,-71.08905934,0.003689033
"765","TRHS291",1982,"North","N",42.98459793,-71.08905934,0.004309344
"766","TRHS292",1889,"North","N",43.94066632,-71.82071979,0.003645068
"767","TRHS293",1887,"North","N",43.94066632,-71.82071979,0.003660542
"768","TRHS294",1985,"North","N",43.94066632,-71.82071979,0.003405637
"769","TRHS297",1898,"North","N",43.94066632,-71.82071979,0.003529758
"770","TRHS298",1956,"North","N",43.29699417,-71.02880202,0.003367873
"771","TRHS299",1993,"North","N",43.87384594,-71.20299392,0.003150217
"772","TRHS300",1875,"North","N",44.68949562,-71.30553334,0.001696773
"773","TRHS301",2004,"North","N",43.51796897,-71.42269361,0.002631343
"774","TRHS302",1939,"North","N",46.65881813,-68.59887855,0.003343109
"776","TRHS304",1972,"North","N",43.4292262,-70.67014607,0.00325397
"777","TRHS306",2002,"North","N",43.80608211,-70.33020063,0.003655229
"778","TRHS307",1894,"North","N",43.80608211,-70.33020063,0.002949402
"779","TRHS309",1967,"North","N",44.02729874,-69.01554749,0.003435579
"780","TRHS310",1977,"North","N",44.56288676,-68.36820797,0.003342762
"781","TRHS312",1967,"North","N",43.99778733,-69.52575926,0.003439323
"782","TRHS313",1968,"North","N",44.02729874,-69.01554749,0.004390352
"783","TRHS314",1941,"North","N",43.29699417,-71.02880202,0.003102893
"784","TRHS316",1897,"North","N",45.40051232,-68.64942813,0.00285802
"785","TRHS317",1894,"North","N",45.40051232,-68.64942813,0.003244419
"787","TRHS321",2005,"North","N",44.68949562,-71.30553334,0.003524009
"788","TRHS322",1980,"North","N",43.3612747,-72.22222936,0.003167504
"789","TRHS323",2009,"North","N",44.9694591,-67.60905949,0.003160306
"790","TRHS324",2007,"South","S",33.95116875,-83.36732908,0.003044785
"791","TRHS325",2002,"South","S",31.40439932,-100.4620728,0.00277265
"792","TRHS326",1995,"North","N",41.34882429,-72.89985769,0.003307034
"793","TRHS327",2009,"North","N",42.91933143,-72.25117527,0.002954872
"794","TRHS328",2000,"North","N",41.30124061,-70.12811317,0.001160592
"795","TRHS329",1892,"North","N",42.98459793,-71.08905934,0.001786795
"796","TRHS331",1966,"North","N",43.29699417,-71.02880202,0.003338063
"797","TRHS332",1930,"North","N",43.29699417,-71.02880202,0.00318708
"798","TRHS334",2008,"North","N",42.91529151,-71.71608247,0.00304317
"799","TRHS335",1927,"North","N",43.29699417,-71.02880202,0.003702337
"802","TRHS339",1987,"South","S",30.37588,-91.168632,0.002769522
"804","TRHS341",1971,"South","S",32.602028,-93.883072,0.002549974
"805","TRHS342",1989,"South","S",30.20369,-91.02449,0.00270629
"806","TRHS343",1981,"South","S",30.650251,-92.829664,0.003436438
"807","TRHS344",1987,"South","S",30.246912,-92.638819,0.002294265
"808","TRHS345",1933,"South","S",30.219167,-92.372255,0.002377981
"809","TRHS346",2013,"South","S",29.586481,-90.710909,0.001635109
"810","TRHS347",2020,"South","S",30.476093,-90.105449,0.002413279
"811","TRHS348",2004,"South","S",31.388597,-92.33775,0.002554714
"812","TRHS349",1996,"South","S",30.785919,-89.89005,0.002760367
"813","TRHS350",1962,"South","S",32.870409,-92.502957,0.002507471
"814","TRHS351",1941,"South","S",29.586868,-90.707441,0.002210697
"815","TRHS352",1933,"South","S",29.586481,-90.710909,0.001800584
"816","TRHS353",1969,"South","S",30.522847,-90.348329,0.002983528
"817","TRHS354",1949,"South","S",30.369294,-89.747499,0.003224669
"818","TRHS355",1949,"South","S",29.932361,-90.121722,0.002746884
"819","TRHS356",2003,"South","S",30.283419,-89.811476,0.00249225
"820","TRHS357",1976,"South","S",29.317538,-91.284992,0.002607336
"822","TRHS359",1971,"South","S",30.919754,-90.680309,0.002333231
"823","TRHS360",1973,"South","S",30.003554,-90.441461,0.002521745
"824","TRHS361",2002,"South","S",30.229512,-93.277859,0.002341501
"826","TRHS363",1966,"South","S",30.211056,-92.019554,0.003147559
"827","TRHS364",1931,"South","S",29.239919,-89.988715,0.003106484
"833","TRHS372",1991,"North","N",44.307945,-96.79856,0.002451652
"834","TRHS373",1991,"North","N",43.7458333,-102.7118514,0.002754139
"835","TRHS374",1991,"North","N",44.53807777,-102.7118514,0.002607443
"837","TRHS376",1939,"North","N",44.3715,-103.98,0.003131559
"838","TRHS377",1959,"North","N",49.05,-93.58333333,0.003231543
"839","TRHS378",2008,"North","N",43.53757,103.21645,0.001929914
"840","TRHS379",1962,"North","N",44.317837,-96.78976,0.00346184
"841","TRHS380",1972,"North","N",48.0458,-90.5876,0.002796595
"843","TRHS382",1984,"North","N",44.3763598,-96.7925213,0.00288889
"844","TRHS383",1983,"North","N",44.3763598,-96.7925213,0.003293191
"846","TRHS386",1891,"North","N",44.3763598,-96.7925213,0.003159226
"847","TRHS387",2010,"North","N",44.3763598,-96.7925213,0.002915599
"848","TRHS388",1935,"North","N",42.452095,-76.480323,0.002651084
"849","TRHS389",1993,"North","N",46.808327,-100.783739,0.002351727
"850","TRHS390",2014,"North","N",44.481903,96.225038,0.002612327
"851","TRHS391",1990,"North","N",43.6435692,-116.7017144,0.002679024
"853","TRHS393",1975,"North","N",47.6961,-98.7029,0.002673684
"854","TRHS394",1993,"North","N",46.890257,-96.7984885,0.002707684
"855","TRHS395",2005,"North","N",46.2247251,-96.9470748,0.002831395
"856","TRHS396",1978,"North","N",46.87591,-96.78176,0.0027029
"857","TRHS397",2012,"North","N",46.911625,-98.708626,0.00311504
"858","TRHS398",1971,"North","N",46.8269776,-99.7751937,0.002782544
"859","TRHS399",2011,"North","N",40.0291,-83.015,0.001900753
"860","TRHS400",1877,"North","N",41.6529143,-83.5378173,0.002771618
"861","TRHS401",2001,"North","N",41.6529144,-83.5378174,0.003189878
"863","TRHS403",1968,"North","N",40.0289,-83.014,0.003226986
"864","TRHS404",1882,"North","N",40.029,-83.014,0.001310131
"865","TRHS405",1970,"North","N",40.0289,-83.014,0.003359214
"866","TRHS406",2005,"North","N",42.141388,-80.1104902,0.002785023
"867","TRHS407",1879,"North","N",42.1413879,-80.1104901,0.002228251
"868","TRHS408",2004,"North","N",41.4586993,-78.1931833,0.002717794
"869","TRHS409",2010,"North","N",40.9162,-79.926,0.001641769
"870","TRHS410",2022,"North","N",40.9163,-79.927,0.002920377
"871","TRHS411",2024,"North","N",40.692623,-80.35907,0.003171597
"872","TRHS412",2019,"North","N",40.4597206,-79.9760407,0.003141411
"873","TRHS413",1883,"North","N",40.4597205,-79.9760406,0.00280076
"874","TRHS414",1889,"North","N",40.4597204,-79.9760405,0.003121351
"875","TRHS415",1884,"North","N",40.4597209,-79.976041,0.003508747
"876","TRHS416",1933,"North","N",40.4597208,-79.9760409,0.001731294
"878","TRHS418",1998,"North","N",45.6691159,-108.771532,0.003041362
"879","TRHS419",1946,"South","S",31.025742,-88.7955915,0.00218981
"882","TRHS422",1969,"South","S",32.6098,-85.4807825,0.002990206
"883","TRHS423",1965,"North","N",64.04736046,-145.7423638,0.002888955
"885","TRHS425",1948,"South","S",32.687171,-94.1872048,0.003464764
"886","TRHS426",1960,"South","S",29.7589382,-95.3676974,0.003168147
"887","TRHS427",1947,"South","S",30.3490978,-94.1779626,0.003332641
"888","TRHS428",1977,"South","S",29.3735742,-95.5885562,0.003061922
"889","TRHS429",1974,"South","S",33.0142748,-96.7196934,0.00278749
"890","TRHS430",1950,"South","S",31.279227,-94.572881,0.003000792
"892","TRHS432",1904,"North","N",41.767249,-73.2543049,0.003382898
"893","TRHS50",1889,"North","N",40.46883366,-79.98119461,0.003076336
"894","TRHS51",1902,"North","N",40.31072723,-79.4669607,0.004167635
"895","TRHS52",1904,"North","N",41.74492106,-77.89581407,0.003235404
"896","TRHS53",1923,"North","N",43.58009157,-73.03660874,0.003028354
"897","TRHS54",1925,"North","N",41.74492106,-77.89581407,0.004016192
"898","TRHS55",1934,"North","N",40.00763605,-75.13394468,0.003348945
"899","TRHS56",1991,"South","S",29.33744189,-90.83763991,0.00291841
"900","TRHS57",1973,"South","S",34.78062294,-90.78206732,0.002449562
"901","TRHS58",1957,"South","S",34.93653484,-77.93302775,0.003155209
"906","TRHS64",1979,"South","S",30.62665232,-90.40568053,0.002736232
"907","TRHS65",1935,"North","N",41.30219372,-80.25770627,0.003060816
"908","TRHS66",1937,"North","N",42.99060351,-72.71379854,0.003271748
"909","TRHS67",1942,"North","N",40.30164138,-81.92001074,0.003007554
"910","TRHS68",1946,"North","N",40.65205164,-79.08754709,0.002948192
"911","TRHS69",1948,"North","N",40.85199078,-76.70932162,0.003115223
"912","TRHS70",1951,"North","N",42.03624149,-93.46504477,0.002833123
"913","TRHS71",1972,"North","N",40.18940076,-80.24824436,0.003176677
"919","TRHS77",1957,"South","S",34.48356774,-82.00593404,0.003069133
"920","TRHS78",1956,"South","S",32.7762763,-81.14070261,0.002865075
"921","TRHS79",1920,"South","S",34.33250695,-79.9577199,0.002748549
"922","TRHS80",1977,"South","S",32.41779167,-91.76348184,0.00247039
"930","TRHS88",1983,"South","S",32.8318885,-92.37480557,0.002893264
"931","TRHS89",1838,"North","N",42.60291744,-83.91152775,0.002095231
"932","TRHS90",1839,"South","S",30.68515162,-88.19752335,0.002362585
"933","TRHS91",1863,"North","N",42.25322535,-83.83877051,0.004408661
"934","TRHS92",1898,"North","N",43.99606769,-86.54509227,0.003089996
"936","TRHS94",1923,"North","N",45.47294043,-84.49206442,0.003244638
"937","TRHS95",1987,"North","N",41.88776749,-84.5929278,0.003139909
"938","TRHS96",1977,"South","S",30.1290721,-91.60829751,0.002610117
"939","TRHS97",1947,"North","N",41.46732857,-90.5674126,0.003839399
"941","TRHS99",1982,"North","N",41.40414593,-89.52865576,0.003700879
